adult,id,original_language,original_title,popularity,title,release_date
False,725858,en,ETs Among Us 4: The Reality of ET/Human Hybrids,1.81,ETs Among Us 4: The Reality of ET/Human Hybrids,2020-02-01
False,92722,en,Truck Stop Women,1.8099,Truck Stop Women,1974-05-15
False,14047,en,The Great Debaters,1.8099,The Great Debaters,2007-12-25
False,90934,cn,香港奇案之吸血貴利王,1.8097,The Underground Banker,1994-01-22
False,12123,en,Chain Reaction,1.8135,Chain Reaction,1996-08-02
False,9456,en,The Crow: Salvation,1.8135,The Crow: Salvation,2000-01-23
False,4960,en,"Synecdoche, New York",1.8135,"Synecdoche, New York",2008-10-24
False,452,da,Idioterne,1.8135,The Idiots,1998-04-28
False,411840,en,Surf's Up 2: WaveMania,1.8134,Surf's Up 2: WaveMania,2017-01-26
False,28941,en,Chopping Mall,1.8134,Chopping Mall,1986-03-21
False,1352821,tr,Tam Bir Centilmen,1.8133,A True Gentleman,2024-09-25
False,890322,ja,桜のような僕の恋人,1.8133,Love Like the Falling Petals,2022-03-24
False,35053,hi,डर,1.8133,Darr,1993-12-23
False,925781,en,Hanging on to Love,1.8132,Hanging on to Love,2022-01-11
False,486898,zh,地球最后的夜晚,1.8132,Long Day's Journey into Night,2018-12-31
False,445993,en,The Marine 5: Battleground,1.8132,The Marine 5: Battleground,2017-03-16
False,146375,fr,De l'autre côté du périph,1.8131,On the Other Side of the Tracks,2012-12-15
False,90730,de,Sadomania - Hölle der Lust,1.8131,Sadomania,1981-03-27
False,214075,en,Words and Pictures,1.813,Words and Pictures,2014-05-22
False,5236,en,Kiss Kiss Bang Bang,1.813,Kiss Kiss Bang Bang,2005-09-14
False,22160,en,Against All Odds,1.8128,Against All Odds,1984-03-02
False,1047925,en,Come Out Fighting,1.8124,Come Out Fighting,2023-05-19
False,290762,en,Miss You Already,1.8123,Miss You Already,2015-09-12
False,11066,en,Boomerang,1.8123,Boomerang,1992-06-30
False,682110,en,My Octopus Teacher,1.8163,My Octopus Teacher,2020-09-04
False,16198,ja,ホーホケキョ となりの山田くん,1.8162,My Neighbors the Yamadas,1999-07-17
False,491926,en,Resistance,1.8157,Resistance,2020-03-27
False,823951,fr,Novembre,1.8154,November,2022-10-05
False,14553,en,Stealing Beauty,1.8154,Stealing Beauty,1996-03-29
False,1024530,en,Grimcutty,1.8152,Grimcutty,2022-10-10
False,805682,en,Horror in the High Desert,1.8151,Horror in the High Desert,2021-03-27
False,483202,en,Eli,1.8151,Eli,2019-10-18
False,498248,fr,Mia et le lion blanc,1.8147,Mia and the White Lion,2018-08-02
False,1040,it,Il gattopardo,1.8145,The Leopard,1963-03-27
False,901908,es,El juego de las llaves,1.8141,The Key Game,2022-04-13
False,27122,en,The Attic,1.8141,The Attic,2006-04-15
False,869112,en,Somebody I Used to Know,1.814,Somebody I Used to Know,2023-02-10
False,16553,en,Little Manhattan,1.814,Little Manhattan,2005-09-26
False,259910,en,Marvel Studios: Assembling a Universe,1.8139,Marvel Studios: Assembling a Universe,2014-03-18
False,11258,en,Hard Rain,1.8138,Hard Rain,1998-01-16
False,113947,en,The Sessions,1.8136,The Sessions,2012-05-02
False,25028,en,The Dead Next Door,1.8136,The Dead Next Door,1989-11-10
False,10885,en,Shutter,1.8136,Shutter,2008-03-21
False,4012,en,The Believer,1.8136,The Believer,2001-08-23
False,1241750,tl,Mapanukso,1.8202,Mapanukso,2024-03-15
False,1236419,en,Piece by Piece,1.8197,Piece by Piece,2024-10-10
False,12090,en,Just Married,1.8197,Just Married,2003-01-08
False,41003,en,White Palace,1.819,White Palace,1990-10-19
False,54540,en,Beverly Hills Chihuahua 2,1.8187,Beverly Hills Chihuahua 2,2011-02-01
False,10328,en,Cocoon,1.8186,Cocoon,1985-06-21
False,1093485,cn,掃毒3︰人在天涯,1.8182,The White Storm 3: Heaven or Hell,2023-07-06
False,950019,zh,怒潮,1.8182,Wolf Hiding,2023-12-16
False,628032,zh,情色小說,1.8181,Erotica,2018-10-27
False,10577,en,Dracula 2000,1.818,Dracula 2000,2000-12-22
False,352164,en,Summer of 8,1.8175,Summer of 8,2016-04-26
False,806704,en,Untitled The Batman Sequel,1.8174,Untitled The Batman Sequel,2027-09-30
False,21683,en,Batman: Mystery of the Batwoman,1.8174,Batman: Mystery of the Batwoman,2003-10-21
False,455551,en,The Recall,1.8173,The Recall,2017-06-02
False,8881,en,Che: Part One,1.8173,Che: Part One,2008-09-05
False,1188456,ja,変な家,1.8171,A Strange House,2024-03-15
False,1680,ja,キングコング対ゴジラ,1.8171,King Kong vs. Godzilla,1962-08-11
False,850246,en,Trip Slip,1.817,Trip Slip,2021-07-13
False,30421,cn,倩女幽魂,1.817,A Chinese Ghost Story,1987-07-18
False,36682,zh,合氣道,1.8167,Hapkido,1972-10-01
False,460321,en,Close,1.8233,Close,2019-02-22
False,23488,en,Dorian Gray,1.8233,Dorian Gray,2009-09-09
False,1306816,ko,좀비딸,1.823,My Daughter is a Zombie,2025-07-30
False,364902,en,The Dresser,1.823,The Dresser,2015-10-31
False,8054,en,The Imaginarium of Doctor Parnassus,1.823,The Imaginarium of Doctor Parnassus,2009-10-01
False,551115,nl,Penoza: The Final Chapter,1.8229,Penoza: The Final Chapter,2019-11-28
False,766475,en,See How They Run,1.8226,See How They Run,2022-09-09
False,1362133,id,Cinta Dalam Ikhlas,1.8222,Pure Love,2024-11-27
False,314859,en,By God's Grace,1.8222,By God's Grace,2014-11-02
False,7515,en,London,1.8216,London,2005-09-03
False,164558,en,One Direction: This Is Us,1.8215,One Direction: This Is Us,2013-08-28
False,210860,en,Mortdecai,1.8214,Mortdecai,2015-01-21
False,526426,ja,劇場版総集編【前編】メイドインアビス 旅立ちの夜明け,1.8213,Made in Abyss: Journey's Dawn,2019-01-04
False,19666,hi,लगान,1.8212,Lagaan: Once Upon a Time in India,2001-06-15
False,75674,en,Act of Valor,1.8211,Act of Valor,2012-02-24
False,44875,en,Topper Returns,1.8209,Topper Returns,1941-03-21
False,1251,en,Letters from Iwo Jima,1.8209,Letters from Iwo Jima,2006-12-09
False,21481,en,Twitches,1.8208,Twitches,2005-10-14
False,531499,en,The Tax Collector,1.8204,The Tax Collector,2020-08-07
False,205601,en,Belle,1.8203,Belle,2013-05-01
False,714338,hi,बुलबुल,1.8291,Bulbbul,2020-06-24
False,474392,en,Samson,1.829,Samson,2018-02-16
False,286554,en,Two Night Stand,1.829,Two Night Stand,2014-09-26
False,682249,en,Sweet Sunshine,1.8288,Sweet Sunshine,2020-03-20
False,16690,en,Return to Never Land,1.8288,Return to Never Land,2002-02-14
False,385332,en,Terminal,2.1631,Terminal,2018-05-10
False,1362101,tr,Mavi Mağara,1.8283,Blue Cave,2024-10-17
False,8398,en,The Hitcher,1.8281,The Hitcher,2007-01-19
False,378462,cn,鴨王2,1.8278,The Gigolo 2,2016-01-14
False,119321,en,Big Top Scooby-Doo!,1.8278,Big Top Scooby-Doo!,2012-10-09
False,8366,de,Der Schuh des Manitu,1.8278,Manitou's Shoe,2001-07-11
False,865802,en,His Stretch of Texas Ground,1.8276,His Stretch of Texas Ground,2021-08-25
False,17445,en,Green Lantern: First Flight,1.8276,Green Lantern: First Flight,2009-07-28
False,544581,ko,어린이모,1.8274,Young Aunt,2018-05-31
False,1088080,en,Older Gods,1.8269,Older Gods,2023-03-01
False,460071,en,Lizzie,1.8267,Lizzie,2018-09-14
False,429473,en,Lou,1.8725,Lou,2022-09-23
False,335400,tl,Sabik: Kasalanan Ba?,1.8264,Sabik: Kasalanan Ba?,1986-05-01
False,8834,en,Conspiracy Theory,1.8264,Conspiracy Theory,1997-08-08
False,62961,ja,メタル スキン パニック MADOX-01,1.826,Metal Skin Panic MADOX-01,1987-12-16
False,42968,es,La monja,1.8296,The Nun,2005-11-03
False,214910,ko,화이: 괴물을 삼킨 아이,1.8295,Hwayi: A Monster Boy,2013-10-09
False,21183,en,Fluke,1.8295,Fluke,1995-06-02
False,10818,fr,Naissance des pieuvres,1.8295,Water Lilies,2007-05-17
False,714338,hi,बुलबुल,1.8291,Bulbbul,2020-06-24
False,474392,en,Samson,1.829,Samson,2018-02-16
False,286554,en,Two Night Stand,1.829,Two Night Stand,2014-09-26
False,245698,en,Pawn Sacrifice,1.829,Pawn Sacrifice,2015-09-16
False,682249,en,Sweet Sunshine,1.8288,Sweet Sunshine,2020-03-20
False,16690,en,Return to Never Land,1.8288,Return to Never Land,2002-02-14
False,1362101,tr,Mavi Mağara,1.8283,Blue Cave,2024-10-17
False,226672,en,Legendary: Tomb of the Dragon,1.8282,Legendary: Tomb of the Dragon,2013-05-16
False,391707,ja,夢犯,1.8281,Muhan,1985-11-16
False,8398,en,The Hitcher,1.8281,The Hitcher,2007-01-19
False,378462,cn,鴨王2,1.8278,The Gigolo 2,2016-01-14
False,119321,en,Big Top Scooby-Doo!,1.8278,Big Top Scooby-Doo!,2012-10-09
False,8366,de,Der Schuh des Manitu,1.8278,Manitou's Shoe,2001-07-11
False,865802,en,His Stretch of Texas Ground,1.8276,His Stretch of Texas Ground,2021-08-25
False,17445,en,Green Lantern: First Flight,1.8276,Green Lantern: First Flight,2009-07-28
False,544581,ko,어린이모,1.8274,Young Aunt,2018-05-31
False,788929,is,Dýrið,1.8332,Lamb,2021-08-12
False,21597,en,Elvira's Haunted Hills,1.8331,Elvira's Haunted Hills,2002-10-31
False,9922,en,The Postman,1.8323,The Postman,1997-12-25
False,89458,ja,クレヨンしんちゃん 暗黒タマタマ大追跡,1.8321,Crayon Shin-chan: Pursuit of the Balls of Darkness,1997-04-19
False,11577,en,Pat Garrett & Billy the Kid,1.8321,Pat Garrett & Billy the Kid,1973-05-23
False,494407,ja,劇場版ポケットモンスター みんなの物語,1.832,Pokémon the Movie: The Power of Us,2018-07-13
False,620725,en,Jexi,1.8317,Jexi,2019-10-10
False,246860,en,Clouds of Sils Maria,1.8314,Clouds of Sils Maria,2014-08-20
False,532153,en,Amazon Hot Box,1.8312,Amazon Hot Box,2018-06-15
False,28667,en,The Gorgon,1.8309,The Gorgon,1964-10-18
False,1024,en,Heavenly Creatures,1.8309,Heavenly Creatures,1994-09-12
False,374461,en,Mr. Church,1.8308,Mr. Church,2016-09-16
False,20196,en,Mac and Me,1.8306,Mac and Me,1988-08-12
False,844185,en,Unfrosted,1.8303,Unfrosted,2024-04-30
False,835767,en,Gunfight at Rio Bravo,1.8299,Gunfight at Rio Bravo,2023-01-13
False,39193,en,Firecracker,1.8299,Firecracker,2005-10-11
False,292280,en,The Bye Bye Man,1.8298,The Bye Bye Man,2017-01-12
False,172752,cn,與鴨共舞,1.8298,Cash on Delivery,1992-04-30
False,589117,en,7 Stones,1.8297,7 Stones,2012-01-26
False,13459,en,Barbie in 'A Christmas Carol',1.8297,Barbie in 'A Christmas Carol',2008-11-03
False,10836,en,Dagon,1.8372,Dagon,2001-10-12
False,18988,en,The Lion in Winter,1.837,The Lion in Winter,1968-08-20
False,539617,en,Big Time Adolescence,1.8369,Big Time Adolescence,2020-03-13
False,929831,fr,L'Empire,1.8363,The Empire,2024-02-21
False,1361117,id,Putri Bintang Lima,1.8361,Five Star Princess,2024-10-17
False,1160164,en,TAYLOR SWIFT | THE ERAS TOUR,1.8361,TAYLOR SWIFT | THE ERAS TOUR,2023-10-13
False,477222,fr,Les charnelles,1.8361,Sins of the Flesh,1974-02-20
False,325844,fr,Les Profs 2,1.8361,Serial Teachers 2,2015-07-01
False,878607,zh,一部未完成的电影,1.836,An Unfinished Film,2024-10-23
False,11548,en,*batteries not included,1.8359,*batteries not included,1987-12-18
False,960700,ja,鋼の錬金術師 完結編 復讐者スカー,1.8357,Fullmetal Alchemist: The Revenge of Scar,2022-05-20
False,10172,en,Are We Done Yet?,1.8351,Are We Done Yet?,2007-04-04
False,763025,en,Never Back Down: Revolt,1.8349,Never Back Down: Revolt,2021-11-15
False,13815,en,Fresh,1.8349,Fresh,1994-06-15
False,164457,en,Out of the Furnace,1.8345,Out of the Furnace,2013-11-12
False,25983,en,The House of the Devil,1.8343,The House of the Devil,2009-10-30
False,326446,en,Savageland,1.8341,Savageland,2015-11-01
False,502235,ko,동창회의 목적 3,1.834,Purpose of Reunion 3,2018-02-20
False,40141,it,Le colt cantarono la morte e fu... tempo di massacro,1.8338,Massacre Time,1966-08-10
False,371193,cn,愛的精靈,1.8333,The Spirit of Love,1993-04-17
False,511652,ko,공즉시색 2,1.8406,Mutual Relations 2,2018-02-01
False,1073,en,Arlington Road,1.8405,Arlington Road,1999-03-19
False,9621,en,Elizabethtown,1.8404,Elizabethtown,2005-10-14
False,111316,en,Lady of the Tropics,1.8401,Lady of the Tropics,1939-08-11
False,13852,en,The Castle,1.8398,The Castle,1997-04-10
False,25506,en,Slightly Scarlet,1.8394,Slightly Scarlet,1956-02-29
False,407887,ko,인천상륙작전,1.839,Operation Chromite,2016-07-27
False,586456,en,Clementine,1.8389,Clementine,2019-04-27
False,708990,ko,너무 큰 여선배,1.8387,An Oversized Woman,2020-05-08
False,300687,en,Same Kind of Different as Me,1.8384,Same Kind of Different as Me,2017-10-20
False,353433,en,Urge,1.8383,Urge,2016-02-14
False,121823,zh,太极1: 从零开始,1.8382,Tai Chi Zero,2012-09-27
False,9592,en,Open Water 2: Adrift,1.8382,Open Water 2: Adrift,2006-07-10
False,797271,zh,反击,1.8379,Counterattack,2021-02-15
False,553837,ja,コードギアス 復活のルルーシュ,1.8379,Code Geass: Lelouch of the Re;Surrection,2019-02-09
False,59068,it,Suor Emanuelle,1.8379,Sister Emanuelle,1977-08-10
False,12187,en,Heart and Souls,1.8376,Heart and Souls,1993-08-13
False,553593,en,Walkaway Joe,1.8375,Walkaway Joe,2020-05-08
False,260557,ko,비밀과외,1.8375,Secret Tutor,2014-02-13
False,39148,ja,ドラゴンボール 最強への道,1.8372,Dragon Ball: The Path to Power,1996-03-04
False,9367,es,El Mariachi,1.846,El Mariachi,1993-02-22
False,14534,en,Rudy,1.8459,Rudy,1993-09-17
False,20856,en,Aliens in the Attic,1.8457,Aliens in the Attic,2009-07-30
False,362314,pt,Meu Amigo Hindu,1.8456,My Hindu Friend,2016-03-03
False,9886,en,Johnny Mnemonic,1.8455,Johnny Mnemonic,1995-05-26
False,9942,en,Major League,1.8454,Major League,1989-02-16
False,19457,en,The Yards,1.845,The Yards,2000-04-27
False,396806,en,Anon,1.9394,Anon,2018-05-03
False,28406,es,La furia del Hombre Lobo,1.8449,The Fury of the Wolf Man,1972-02-07
False,664332,hi,गंगूबाई काठियावाड़ी,1.8444,Gangubai Kathiawadi,2022-02-24
False,1196632,tl,Salakab,1.8441,Salakab,2023-11-17
False,479709,en,Get My Gun,1.844,Get My Gun,2017-11-03
False,621870,en,Secret Society of Second Born Royals,1.8439,Secret Society of Second Born Royals,2020-09-25
False,602302,ko,내일의 기억,1.8439,Recalled,2021-04-21
False,10366,en,Universal Soldier: The Return,1.8438,Universal Soldier: The Return,1999-08-05
False,1041513,en,Encanto at the Hollywood Bowl,1.8437,Encanto at the Hollywood Bowl,2022-12-27
False,560144,en,Skylines,1.8434,Skylines,2020-10-25
False,71688,en,The Iron Lady,1.8433,The Iron Lady,2011-12-26
False,10247,en,He Was a Quiet Man,1.8433,He Was a Quiet Man,2007-11-23
False,889,en,The Flintstones in Viva Rock Vegas,1.8431,The Flintstones in Viva Rock Vegas,2000-04-28
False,466622,en,The Rhythm Section,1.8471,The Rhythm Section,2020-01-31
False,496524,hi,सिंम्बा,1.847,Simmba,2018-12-28
False,79518,nl,Naakt,1.8469,Naked,2006-06-28
False,283235,en,99 Homes,1.8468,99 Homes,2015-09-25
False,15189,en,Hotel for Dogs,1.8465,Hotel for Dogs,2009-01-16
False,367401,it,Con la zia non è peccato,1.8464,With Aunt It's Not a Sin,1980-12-23
False,2614,en,Innerspace,1.8464,Innerspace,1987-07-01
False,340176,ja,リアル鬼ごっこ,1.846,Tag,2015-05-11
False,9367,es,El Mariachi,1.846,El Mariachi,1993-02-22
False,14534,en,Rudy,1.8459,Rudy,1993-09-17
False,20856,en,Aliens in the Attic,1.8457,Aliens in the Attic,2009-07-30
False,362314,pt,Meu Amigo Hindu,1.8456,My Hindu Friend,2016-03-03
False,9886,en,Johnny Mnemonic,1.8455,Johnny Mnemonic,1995-05-26
False,9942,en,Major League,1.8454,Major League,1989-02-16
False,19457,en,The Yards,1.845,The Yards,2000-04-27
False,28406,es,La furia del Hombre Lobo,1.8449,The Fury of the Wolf Man,1972-02-07
False,664332,hi,गंगूबाई काठियावाड़ी,1.8444,Gangubai Kathiawadi,2022-02-24
False,1196632,tl,Salakab,1.8441,Salakab,2023-11-17
False,479709,en,Get My Gun,1.844,Get My Gun,2017-11-03
False,621870,en,Secret Society of Second Born Royals,1.8439,Secret Society of Second Born Royals,2020-09-25
False,551905,en,Fishtales 2,1.85,Fishtales 2,2017-11-01
False,94047,ko,마이웨이,1.8498,My Way,2011-12-21
False,31685,en,The Hunchback of Notre Dame,1.8498,The Hunchback of Notre Dame,1939-12-29
False,658760,de,Isi & Ossi,1.8497,Isi & Ossi,2020-02-14
False,70057,zh,武俠,1.8497,Dragon,2011-07-04
False,45978,ja,元禄 忠臣蔵,1.8495,The 47 Ronin,1941-12-08
False,9669,ja,リング 2,1.8495,Ring 2,1999-01-23
False,10257,cn,千機變II花都大戰,1.8491,The Twins Effect II,2004-08-12
False,41472,ja,花と蛇,1.8489,Flower & Snake,2004-03-13
False,10015,en,Heartbreak Ridge,1.8488,Heartbreak Ridge,1986-12-05
False,574939,ko,사돈처녀,1.8486,The Daughter-in-law,2018-12-05
False,9451,en,Election,1.8485,Election,1999-04-23
False,800597,en,Registros Fatais 3: Apocalypse,1.8478,Registros Fatais 3: Apocalypse,2012-12-21
False,11197,sv,Ondskan,1.8477,Evil,2003-09-16
False,989937,ja,七つの大罪 怨嗟のエジンバラ 前編,1.8475,The Seven Deadly Sins: Grudge of Edinburgh Part 1,2022-12-20
False,227783,en,The Nut Job,1.8475,The Nut Job,2014-01-17
False,1049082,id,Jumbo,1.8474,Jumbo,2025-03-31
False,9504,en,Glengarry Glen Ross,1.8474,Glengarry Glen Ross,1992-09-10
False,963262,ko,A형젖큰여자친구,1.8471,"Blood Type A, A Big Breasted Girlfriend",2021-01-01
False,485470,ko,착한 형수2,1.8471,Nice Sister-In-Law 2,2017-10-08
False,128868,ja,クレヨンしんちゃん アクション仮面VSハイグレ魔王,1.8521,Crayon Shin-chan: Action Mask vs. Leotard Devil,1993-07-24
False,9028,it,Il grande silenzio,1.8521,The Great Silence,1968-11-22
False,15384,zh,赤壁：決戰天下,1.8517,Red Cliff II,2009-01-07
False,413857,en,Tragedy Girls,1.8515,Tragedy Girls,2017-10-20
False,10306,en,Poltergeist III,1.8514,Poltergeist III,1988-06-10
False,887,en,The Best Years of Our Lives,1.8514,The Best Years of Our Lives,1946-12-25
False,339397,en,Café Society,1.8513,Café Society,2016-05-11
False,1165,en,The Queen,1.8513,The Queen,2006-09-15
False,333667,en,Rock Dog,1.851,Rock Dog,2016-07-08
False,31442,ru,Иваново детство,1.851,Ivan's Childhood,1962-05-09
False,1388808,en,Into the Deep,1.8509,Into the Deep,2025-01-23
False,920081,en,Megaboa,1.8509,Megaboa,2021-11-26
False,109513,en,Hit & Run,1.8507,Hit & Run,2012-08-22
False,1139106,en,We Are Zombies,1.8505,We Are Zombies,2024-07-17
False,172956,cn,紅樓春上春,1.8505,Erotic Dream of the Red Chamber,1978-01-19
False,10822,en,Savage Grace,1.8504,Savage Grace,2007-05-18
False,11298,en,The Howling,1.8503,The Howling,1981-01-21
False,1003504,fr,On ira,1.8501,We Will Go,2025-03-12
False,46146,no,Trolljegeren,1.8501,Troll Hunter,2010-10-29
False,20625,en,The Cocoanuts,1.8551,The Cocoanuts,1929-05-23
False,14906,en,Saludos Amigos,1.855,Saludos Amigos,1942-08-24
False,10795,fr,Ne le dis à personne,1.855,Tell No One,2006-11-01
False,360387,en,Blunt Force Trauma,1.8548,Blunt Force Trauma,2015-10-05
False,297721,ko,강남 1970,1.8548,Gangnam Blues,2015-01-21
False,10944,en,In the Cut,1.8546,In the Cut,2003-10-22
False,586353,ru,Мастер и Маргарита,1.8545,The Master and Margarita,2024-01-25
False,28510,en,Universal Soldier: Regeneration,1.8543,Universal Soldier: Regeneration,2009-10-01
False,805320,es,Bird Box Barcelona,1.8542,Bird Box Barcelona,2023-07-14
False,1124566,no,Affeksjonsverdi,1.854,Sentimental Value,2025-08-20
False,521,en,Dial M for Murder,1.8537,Dial M for Murder,1954-05-29
False,290727,en,Monster High: Freaky Fusion,1.8534,Monster High: Freaky Fusion,2014-10-06
False,144473,cn,喜愛夜蒲2,1.8534,Lan Kwai Fong 2,2012-11-17
False,368940,de,Robinson Crusoe,1.8532,Robinson Crusoe,2016-02-04
False,199675,en,Girl Meets Boy,1.8529,Girl Meets Boy,2013-06-04
False,74513,fr,Forces spéciales,1.8529,Special Forces,2011-11-02
False,903802,en,Winter's End,1.8528,Winter's End,2005-07-10
False,849920,hi,All Ladies Do It,1.8527,All Ladies Do It,2020-10-13
False,6069,en,The Witches of Eastwick,1.8527,The Witches of Eastwick,1987-06-12
False,789623,en,Sound Heals,1.8526,Sound Heals,2019-01-19
False,653127,ko,여자 하숙집 3,1.8585,Female Hostel 3,2019-06-11
False,55377,en,Amityville: The Evil Escapes,1.8585,Amityville: The Evil Escapes,1989-05-12
False,11699,en,Bad Lieutenant: Port of Call - New Orleans,1.8581,Bad Lieutenant: Port of Call - New Orleans,2009-09-11
False,44729,ja,ワンピース the movie オマツリ男爵と秘密の島,1.858,One Piece: Baron Omatsuri and the Secret Island,2005-03-05
False,683340,en,Vengeance,1.8579,Vengeance,2022-07-29
False,533991,hi,स्त्री,1.8579,Stree,2018-08-31
False,77930,en,Magic Mike,1.8579,Magic Mike,2012-06-28
False,574082,en,Fireball: Visitors from Darker Worlds,1.8578,Fireball: Visitors from Darker Worlds,2020-09-10
False,977262,en,Ezra,1.8576,Ezra,2024-05-30
False,738562,en,Game of Thrones: The Story So Far,1.8575,Game of Thrones: The Story So Far,2017-07-13
False,592807,fr,Papicha,1.8573,Papicha,2019-10-09
False,774021,en,Demonic,1.8572,Demonic,2021-07-29
False,1405189,tl,Teacher's Pet,1.8571,Teacher's Pet,2025-01-03
False,796175,en,Romania: Seeking Dracula's Castle,1.8571,Romania: Seeking Dracula's Castle,2020-04-03
False,500205,sv,Beck 36 - Den tunna isen,1.8566,Beck 36 - The Thin Ice,2018-02-03
False,630322,en,Battle at Big Rock,1.8561,Battle at Big Rock,2019-09-15
False,70667,no,Kon-Tiki,1.8561,Kon-Tiki,2012-08-24
False,10909,en,Kalifornia,1.8561,Kalifornia,1993-06-24
False,10425,en,The Death and Life of Bobby Z,1.8557,The Death and Life of Bobby Z,2007-07-23
False,24253,sv,Flickan som lekte med elden,1.8556,The Girl Who Played with Fire,2009-09-18
False,41712,en,Door to Door,1.8619,Door to Door,2002-07-14
False,1223663,es,Rita,1.8618,Rita,2024-07-18
False,470333,en,Hearts Beat Loud,1.8618,Hearts Beat Loud,2018-06-08
False,10653,en,The Seven Year Itch,1.8618,The Seven Year Itch,1955-06-03
False,744653,en,The Thursday Murder Club,1.8615,The Thursday Murder Club,2025-08-22
False,339395,en,Georgetown,1.8615,Georgetown,2019-05-14
False,9086,en,Young Guns II,1.8614,Young Guns II,1990-08-01
False,531634,en,Pick It Up!: Ska in the '90s,1.8613,Pick It Up!: Ska in the '90s,2019-04-26
False,23056,en,Pinocchio 3000,1.8612,Pinocchio 3000,2004-05-14
False,99770,fr,Astérix & Obélix : Au service de Sa Majesté,1.861,Asterix & Obelix: God Save Britannia,2012-10-17
False,77887,en,Hawaiian Vacation,1.861,Hawaiian Vacation,2011-06-16
False,332177,en,Vendetta,1.8608,Vendetta,2015-06-12
False,11087,en,The Hand That Rocks the Cradle,1.8608,The Hand That Rocks the Cradle,1992-01-10
False,40760,en,Sorority House Massacre,1.8607,Sorority House Massacre,1986-10-01
False,16608,en,The Proposition,1.8595,The Proposition,2005-10-06
False,1149791,ml,പ്രേമലു,1.8593,Premalu,2024-02-09
False,292177,en,My Little Pony: Equestria Girls - Rainbow Rocks,1.8589,My Little Pony: Equestria Girls - Rainbow Rocks,2014-09-27
False,811631,en,Infinite Storm,1.8588,Infinite Storm,2022-03-25
False,604605,ja,HELLO WORLD,1.8586,Hello World,2019-09-20
False,1968,en,Fools Rush In,1.8586,Fools Rush In,1997-02-14
False,13374,en,Ice Princess,1.865,Ice Princess,2005-03-17
False,414419,en,Kill Bill: The Whole Bloody Affair,1.8649,Kill Bill: The Whole Bloody Affair,2011-03-27
False,661995,en,Abstruse,1.8647,Abstruse,2019-11-01
False,43386,en,Cyrano de Bergerac,1.8647,Cyrano de Bergerac,1950-11-16
False,21242,en,Valdez Is Coming,1.8647,Valdez Is Coming,1971-04-09
False,1252037,de,Der Tiger,1.8644,The Tiger,2025-09-18
